N,rad_odd_M,num_goldbach,rho_min,rho_mean,rho_max,BW_goldbach
1548,129,51,5.084074,6.088803,6.269126,1.185053
1550,155,31,5.274766,6.171147,6.368196,1.093429
1552,97,28,4.789079,5.871789,6.112699,1.323620
1554,777,62,6.059854,7.057793,7.245229,1.185375
1556,389,24,5.543963,6.585438,6.868275,1.324312
1558,779,25,6.059835,7.036237,7.245528,1.185692
1560,195,72,5.396807,6.300659,6.491587,1.094780
1562,781,29,5.921236,6.991715,7.245534,1.324298
1564,391,28,5.682841,6.633011,6.868424,1.185583
1566,87,51,4.956181,5.841553,6.051364,1.095183
1568,7,25,3.854982,4.518704,4.680753,0.825771
1570,785,38,5.921293,7.033557,7.246396,1.325103
1572,393,57,5.683065,6.660646,6.869610,1.186544
1574,787,23,5.921322,6.992104,7.246720,1.325398
1576,197,26,5.306602,6.250639,6.491609,1.185007
1578,789,47,6.150781,7.034011,7.246805,1.096024
1580,395,31,5.941372,6.695550,6.870472,0.929099
1582,791,34,5.921379,7.010424,7.247098,1.325719
1584,33,58,4.334319,5.330429,5.521961,1.187641
1586,793,28,5.921407,6.984298,7.246936,1.325530
1588,397,26,5.683509,6.648962,6.870968,1.187459
1590,795,71,6.150635,7.035838,7.247463,1.096828
1592,199,25,5.565390,6.313996,6.495451,0.930061
1594,797,27,6.272491,7.032551,7.248010,0.975518
1596,399,64,5.941475,6.688793,6.872155,0.930680
1598,799,24,6.419218,7.065877,7.248204,0.828986
1600,5,36,3.169898,4.267514,4.496476,1.326579
1602,267,53,5.464100,6.442080,6.652655,1.188555
1604,401,23,5.545856,6.610663,6.871872,1.326016
1606,803,30,6.059615,7.036016,7.248759,1.189143
1608,201,47,5.399320,6.303320,6.497780,1.098461
1610,805,42,5.921574,7.048049,7.248891,1.327317
1612,403,35,5.546165,6.607665,6.873275,1.327111
1614,807,53,6.059579,7.030721,7.249113,1.189533
1616,101,27,4.795723,5.874897,6.123330,1.327606
1618,809,32,6.059562,7.027169,7.249531,1.189969
1620,15,65,3.991204,4.871627,5.090583,1.099379
1622,811,24,5.921657,6.999035,7.249781,1.328125
1624,203,35,5.171577,6.211489,6.499721,1.328144
1626,813,55,6.059526,7.010917,7.249926,1.190401
1628,407,29,5.775260,6.662565,6.874406,1.099146
1630,815,40,5.921711,7.009308,7.250266,1.328554
1632,51,60,4.560309,5.525221,5.751204,1.190895
1634,817,27,6.150112,7.045349,7.250514,1.100402
1636,409,27,6.013562,6.660152,6.875946,0.862384
1638,273,67,5.677794,6.455075,6.657005,0.979211
1640,205,35,5.172679,6.260612,6.501767,1.329088
1642,821,27,6.059455,6.983245,7.251023,1.191568
1644,411,52,5.775568,6.665923,6.876719,1.101151
1646,823,26,6.417638,7.057331,7.251269,0.833631
1648,103,28,5.148415,5.932139,6.128476,0.980061
1650,165,76,5.447089,6.189956,6.382548,0.935460
1652,413,28,6.173408,6.706152,6.877452,0.704044
1654,827,31,6.387693,7.058897,7.251759,0.864066
1656,69,55,5.076326,5.722970,5.910892,0.834565
1658,829,27,6.547341,7.077861,7.252003,0.704662
1660,415,39,5.547975,6.656609,6.878155,1.330180
1662,831,54,6.059368,7.062170,7.252221,1.192853
1664,13,28,3.906866,4.830541,5.009297,1.102431
1666,119,34,4.872687,5.984125,6.203209,1.330522
1668,417,53,5.685647,6.668470,6.878904,1.193257
1670,835,37,5.921979,7.029290,7.252507,1.330528
1672,209,35,5.174843,6.282181,6.505419,1.330577
1674,93,56,4.875303,5.848790,6.068859,1.193556
1676,419,28,5.776173,6.648839,6.879550,1.103377
1678,839,31,6.270700,7.069018,7.253211,0.982510
1680,105,83,5.150655,5.939114,6.133262,0.982607
1682,29,24,4.501914,5.217228,5.440033,0.938119
1684,421,31,6.013590,6.699104,6.880269,0.866679
1686,843,56,6.386746,7.065201,7.253615,0.866868
1688,211,26,5.670108,6.301304,6.507531,0.837423
1690,65,37,5.086604,5.697324,5.873405,0.786801
1692,141,57,5.502801,6.143103,6.289895,0.787094
1694,77,32,5.255784,5.798121,5.963593,0.707809
1696,53,28,4.430713,5.558335,5.762817,1.332103
1698,849,52,6.059214,7.055847,7.254363,1.195149
1700,85,34,4.683956,5.776694,6.016029,1.332073
1702,851,30,5.922187,7.046553,7.254583,1.332396
1704,213,55,5.313943,6.302759,6.509276,1.195333
1706,853,30,6.149291,7.025152,7.254871,1.105581
1708,427,32,5.897581,6.702863,6.882214,0.984633
1710,285,78,5.679732,6.474752,6.664790,0.985058
1712,107,26,4.805085,5.899830,6.138054,1.332968
1714,857,27,6.059147,7.044823,7.255340,1.196192
1716,429,68,5.776908,6.688735,6.883184,1.106276
1718,859,21,6.415369,7.078859,7.255573,0.840204
1720,215,38,5.525534,6.318416,6.511374,0.985840
1722,861,64,6.314331,7.087547,7.255803,0.941473
1724,431,29,5.550288,6.673340,6.881842,1.331554
1726,863,31,5.922340,6.996800,7.256037,1.333697
1728,3,53,3.020498,3.998488,4.216896,1.196398
1730,865,36,6.149026,7.049048,7.256216,1.107189
1732,433,25,5.897797,6.693297,6.883849,0.986052
1734,51,55,4.750047,5.552385,5.736943,0.986896
1736,217,35,5.179016,6.285201,6.513197,1.334181
1738,869,33,6.059048,7.042037,7.256676,1.197629
1740,435,76,5.777339,6.706560,6.885246,1.107907
1742,871,25,6.414638,7.084399,7.256906,0.842268
1744,109,33,4.808059,5.929087,6.142648,1.334589
1746,291,55,5.470348,6.456925,6.668482,1.198135
1748,437,25,5.777480,6.731807,6.885237,1.107757
1750,35,48,4.198255,5.337424,5.533127,1.334872
1752,219,52,5.316516,6.293795,6.514070,1.197553
1754,877,27,6.148766,7.037339,7.257639,1.108873
1756,439,30,5.551403,6.670774,6.885724,1.334321
1758,879,55,6.058966,7.062840,7.257864,1.198898
1760,55,41,4.664659,5.557923,5.773933,1.109273
1762,881,29,5.922564,7.055230,7.258091,1.335527
1764,21,69,4.058942,5.056500,5.258204,1.199262
1766,883,32,6.148638,7.007831,7.258316,1.109678
1768,221,31,5.910218,6.367299,6.516854,0.606637
1770,885,73,6.268860,7.079024,7.258539,0.989679
1772,443,28,5.942512,6.654264,6.887608,0.945096
1774,887,27,6.615933,7.111563,7.258764,0.642831
1776,111,53,5.272510,5.938145,6.146864,0.874354
1778,889,33,6.413564,7.086135,7.258683,0.845119
1780,445,37,5.552223,6.706802,6.887769,1.335546
1782,33,59,4.297683,5.312891,5.497759,1.200076
1784,223,25,5.407768,6.293583,6.518566,1.110798
1786,893,30,5.922710,7.085859,7.258997,1.336287
1788,447,52,5.688617,6.701175,6.889257,1.200640
1790,895,36,5.922734,7.004341,7.259605,1.336871
1792,7,36,3.331918,4.479486,4.668860,1.336942
